question_id,concept_id,question_text,difficulty,correct_answer
Q10297,C1014,Calculate the limitations of Naive Bayes?,Medium,Uses mathematical optimization for Naive Bayes
Q10298,C1018,Explain the limitations of DBSCAN?,Medium,Uses mathematical optimization for DBSCAN
Q10299,C1023,List Recurrent Neural Networks?,Easy,The fundamental concept of Recurrent Neural Networks
Q10300,C1032,Explain the working mechanism of Cross-Validation?,Medium,Uses mathematical optimization for Cross-Validation
Q10301,C1017,Prove the mathematical foundation of Hierarchical Clustering in practical applications?,Hard,Requires understanding of underlying mathematics in Hierarchical Clustering
Q10302,C1009,What is Gini impurity?,Easy,The fundamental concept of Decision Trees
Q10303,C1020,Identify Activation Functions?,Easy,The fundamental concept of Activation Functions
Q10304,C1037,What is Neural Architecture Search?,Easy,The fundamental concept of Neural Architecture Search
Q10305,C1031,True or False: Hyperparameter Tuning?,Easy,The fundamental concept of Hyperparameter Tuning
Q10306,C1027,How does the working mechanism of Transformers?,Medium,Uses mathematical optimization for Transformers
Q10307,C1020,What is Activation Functions?,Easy,The fundamental concept of Activation Functions
Q10308,C1006,Define Attention Mechanism?,Easy,The fundamental concept of Attention Mechanism
Q10309,C1015,Prove the mathematical foundation of Principal Component Analysis in practical applications?,Hard,Requires understanding of underlying mathematics in Principal Component Analysis
Q10310,C1033,Explain the limitations of Model Evaluation?,Medium,Uses mathematical optimization for Model Evaluation
Q10311,C1024,True or False: LSTM Networks?,Easy,The fundamental concept of LSTM Networks
Q10312,C1025,How does the working mechanism of Autoencoders?,Medium,Uses mathematical optimization for Autoencoders
Q10313,C1011,What is Support Vector Machines?,Easy,The fundamental concept of Support Vector Machines
Q10314,C1010,How does the advantages of K-Nearest Neighbors?,Medium,Uses mathematical optimization for K-Nearest Neighbors
Q10315,C1018,Explain the working mechanism of DBSCAN?,Medium,Uses mathematical optimization for DBSCAN
Q10316,C1030,True or False: Diffusion Models?,Easy,The fundamental concept of Diffusion Models
Q10317,C1030,What is Diffusion Models?,Easy,The fundamental concept of Diffusion Models
Q10318,C1011,Calculate the working mechanism of Support Vector Machines?,Medium,Uses mathematical optimization for Support Vector Machines
Q10319,C1020,Explain the working mechanism of Activation Functions?,Medium,Uses mathematical optimization for Activation Functions
Q10320,C1013,What is Gradient Boosting?,Easy,The fundamental concept of Gradient Boosting
Q10321,C1019,Define forward propagation.,Easy,Introduces non-linearity
Q10322,C1008,What is Logistic Regression?,Easy,The fundamental concept of Logistic Regression
Q10323,C1036,Compare the working mechanism of Explainable AI?,Medium,Uses mathematical optimization for Explainable AI
Q10324,C1020,What is Activation Functions?,Easy,The fundamental concept of Activation Functions
Q10325,C1030,Calculate the working mechanism of Diffusion Models?,Medium,Uses mathematical optimization for Diffusion Models
Q10326,C1017,List Hierarchical Clustering?,Easy,The fundamental concept of Hierarchical Clustering
Q10327,C1026,Define Generative Adversarial Networks?,Easy,The fundamental concept of Generative Adversarial Networks
Q10328,C1037,List Neural Architecture Search?,Easy,The fundamental concept of Neural Architecture Search
Q10329,C1010,Evaluate the implementation of K-Nearest Neighbors in practical applications?,Hard,Requires understanding of underlying mathematics in K-Nearest Neighbors
Q10330,C1011,Describe the working mechanism of Support Vector Machines?,Medium,Uses mathematical optimization for Support Vector Machines
Q10331,C1013,Define Gradient Boosting?,Easy,The fundamental concept of Gradient Boosting
Q10332,C1038,How does the working mechanism of Meta Learning?,Medium,Uses mathematical optimization for Meta Learning
Q10333,C1023,Calculate the working mechanism of Recurrent Neural Networks?,Medium,Uses mathematical optimization for Recurrent Neural Networks
Q10334,C1006,How does the working mechanism of Attention Mechanism?,Medium,Uses mathematical optimization for Attention Mechanism
Q10335,C1006,Define Attention Mechanism?,Easy,The fundamental concept of Attention Mechanism
Q10336,C1013,True or False: Gradient Boosting?,Easy,The fundamental concept of Gradient Boosting
Q10337,C1000,What is singular value decomposition?,Medium,Solve det(A-λI)=0
Q10338,C1013,Derive the mathematical foundation of Gradient Boosting in practical applications?,Hard,Requires understanding of underlying mathematics in Gradient Boosting
Q10339,C1016,Calculate the advantages of K-Means Clustering?,Medium,Uses mathematical optimization for K-Means Clustering
Q10340,C1000,How do you compute eigenvalues of a matrix?,Medium,Solve det(A-λI)=0
Q10341,C1038,Evaluate the implementation of Meta Learning in practical applications?,Hard,Requires understanding of underlying mathematics in Meta Learning
Q10342,C1037,Explain the advantages of Neural Architecture Search?,Medium,Uses mathematical optimization for Neural Architecture Search
Q10343,C1026,Analyze the implementation of Generative Adversarial Networks in practical applications?,Hard,Requires understanding of underlying mathematics in Generative Adversarial Networks
Q10344,C1025,Evaluate the implementation of Autoencoders in practical applications?,Hard,Requires understanding of underlying mathematics in Autoencoders
Q10345,C1026,List Generative Adversarial Networks?,Easy,The fundamental concept of Generative Adversarial Networks
Q10346,C1013,How does the limitations of Gradient Boosting?,Medium,Uses mathematical optimization for Gradient Boosting
Q10347,C1004,List Python Programming?,Easy,The fundamental concept of Python Programming
Q10348,C1010,What is K-Nearest Neighbors?,Easy,The fundamental concept of K-Nearest Neighbors
Q10349,C1034,Identify Ensemble Methods?,Easy,The fundamental concept of Ensemble Methods
Q10350,C1011,List Support Vector Machines?,Easy,The fundamental concept of Support Vector Machines
Q10351,C1029,Analyze the optimization of GPT Models in practical applications?,Hard,Requires understanding of underlying mathematics in GPT Models
Q10352,C1023,List Recurrent Neural Networks?,Easy,The fundamental concept of Recurrent Neural Networks
Q10353,C1024,Calculate the working mechanism of LSTM Networks?,Medium,Uses mathematical optimization for LSTM Networks
Q10354,C1032,What is Cross-Validation?,Easy,The fundamental concept of Cross-Validation
Q10355,C1024,Compare the working mechanism of LSTM Networks?,Medium,Uses mathematical optimization for LSTM Networks
Q10356,C1019,Compare sigmoid vs ReLU.,Medium,Chain rule application
Q10357,C1008,Explain the limitations of Logistic Regression?,Medium,Uses mathematical optimization for Logistic Regression
Q10358,C1012,True or False: Random Forests?,Easy,The fundamental concept of Random Forests
Q10359,C1011,True or False: Support Vector Machines?,Easy,The fundamental concept of Support Vector Machines
Q10360,C1020,Calculate the working mechanism of Activation Functions?,Medium,Uses mathematical optimization for Activation Functions
Q10361,C1029,Compare the limitations of GPT Models?,Medium,Uses mathematical optimization for GPT Models
Q10362,C1026,Explain the working mechanism of Generative Adversarial Networks?,Medium,Uses mathematical optimization for Generative Adversarial Networks
Q10363,C1026,How does the advantages of Generative Adversarial Networks?,Medium,Uses mathematical optimization for Generative Adversarial Networks
Q10364,C1001,What is P(A|B) formula?,Easy,The fundamental concept of Probability
Q10365,C1037,Identify Neural Architecture Search?,Easy,The fundamental concept of Neural Architecture Search
Q10366,C1012,Describe the advantages of Random Forests?,Medium,Uses mathematical optimization for Random Forests
Q10367,C1011,Analyze the mathematical foundation of Support Vector Machines in practical applications?,Hard,Requires understanding of underlying mathematics in Support Vector Machines
Q10368,C1036,List Explainable AI?,Easy,The fundamental concept of Explainable AI
Q10369,C1035,Evaluate the implementation of Self-Supervised Learning in practical applications?,Hard,Requires understanding of underlying mathematics in Self-Supervised Learning
Q10370,C1024,True or False: LSTM Networks?,Easy,The fundamental concept of LSTM Networks
Q10371,C1018,Analyze the optimization of DBSCAN in practical applications?,Hard,Requires understanding of underlying mathematics in DBSCAN
Q10372,C1016,Compare the advantages of K-Means Clustering?,Medium,Uses mathematical optimization for K-Means Clustering
Q10373,C1030,Describe the working mechanism of Diffusion Models?,Medium,Uses mathematical optimization for Diffusion Models
Q10374,C1022,What is pooling?,Easy,The fundamental concept of Convolutional Neural Networks
Q10375,C1031,Calculate the advantages of Hyperparameter Tuning?,Medium,Uses mathematical optimization for Hyperparameter Tuning
Q10376,C1015,Compare the limitations of Principal Component Analysis?,Medium,Uses mathematical optimization for Principal Component Analysis
Q10377,C1011,Derive the optimization of Support Vector Machines in practical applications?,Hard,Requires understanding of underlying mathematics in Support Vector Machines
Q10378,C1034,How does the advantages of Ensemble Methods?,Medium,Uses mathematical optimization for Ensemble Methods
Q10379,C1006,Evaluate the mathematical foundation of Attention Mechanism in practical applications?,Hard,Requires understanding of underlying mathematics in Attention Mechanism
Q10380,C1024,Derive the mathematical foundation of LSTM Networks in practical applications?,Hard,Requires understanding of underlying mathematics in LSTM Networks
Q10381,C1038,List Meta Learning?,Easy,The fundamental concept of Meta Learning
Q10382,C1013,How does the advantages of Gradient Boosting?,Medium,Uses mathematical optimization for Gradient Boosting
Q10383,C1036,Define Explainable AI?,Easy,The fundamental concept of Explainable AI
Q10384,C1019,Explain backpropagation algorithm.,Medium,Chain rule application
Q10385,C1030,What is Diffusion Models?,Easy,The fundamental concept of Diffusion Models
Q10386,C1034,Define Ensemble Methods?,Easy,The fundamental concept of Ensemble Methods
Q10387,C1000,What is a rank of a matrix?,Easy,ad-bc
Q10388,C1000,Explain the difference between rank and nullity.,Medium,Solve det(A-λI)=0
Q10389,C1015,Explain the working mechanism of Principal Component Analysis?,Medium,Uses mathematical optimization for Principal Component Analysis
Q10390,C1021,Explain the advantages of Backpropagation?,Medium,Uses mathematical optimization for Backpropagation
Q10391,C1034,Describe the working mechanism of Ensemble Methods?,Medium,Uses mathematical optimization for Ensemble Methods
Q10392,C1012,Prove the implementation of Random Forests in practical applications?,Hard,Requires understanding of underlying mathematics in Random Forests
Q10393,C1031,Define Hyperparameter Tuning?,Easy,The fundamental concept of Hyperparameter Tuning
Q10394,C1003,What is Statistics?,Easy,The fundamental concept of Statistics
Q10395,C1021,List Backpropagation?,Easy,The fundamental concept of Backpropagation
Q10396,C1009,What is Gini impurity?,Easy,The fundamental concept of Decision Trees
Q10397,C1024,Calculate the limitations of LSTM Networks?,Medium,Uses mathematical optimization for LSTM Networks
Q10398,C1011,True or False: Support Vector Machines?,Easy,The fundamental concept of Support Vector Machines
Q10399,C1018,How does the advantages of DBSCAN?,Medium,Uses mathematical optimization for DBSCAN
Q10400,C1025,Describe the limitations of Autoencoders?,Medium,Uses mathematical optimization for Autoencoders
Q10401,C1009,What are pruning techniques?,Medium,Uses mathematical optimization for Decision Trees
Q10402,C1028,List BERT?,Easy,The fundamental concept of BERT
Q10403,C1014,Identify Naive Bayes?,Easy,The fundamental concept of Naive Bayes
Q10404,C1029,What is GPT Models?,Easy,The fundamental concept of GPT Models
Q10405,C1012,Compare the limitations of Random Forests?,Medium,Uses mathematical optimization for Random Forests
Q10406,C1037,List Neural Architecture Search?,Easy,The fundamental concept of Neural Architecture Search
Q10407,C1007,What is R-squared?,Medium,Uses mathematical optimization for Linear Regression
Q10408,C1038,Identify Meta Learning?,Easy,The fundamental concept of Meta Learning
Q10409,C1001,Explain Monte Carlo methods.,Hard,Requires understanding of underlying mathematics in Probability
Q10410,C1027,Identify Transformers?,Easy,The fundamental concept of Transformers
Q10411,C1020,Describe the advantages of Activation Functions?,Medium,Uses mathematical optimization for Activation Functions
Q10412,C1017,Define Hierarchical Clustering?,Easy,The fundamental concept of Hierarchical Clustering
Q10413,C1016,Describe the advantages of K-Means Clustering?,Medium,Uses mathematical optimization for K-Means Clustering
Q10414,C1001,Define independent events.,Easy,The fundamental concept of Probability
Q10415,C1035,Describe the working mechanism of Self-Supervised Learning?,Medium,Uses mathematical optimization for Self-Supervised Learning
Q10416,C1014,Describe the working mechanism of Naive Bayes?,Medium,Uses mathematical optimization for Naive Bayes
Q10417,C1017,Compare the limitations of Hierarchical Clustering?,Medium,Uses mathematical optimization for Hierarchical Clustering
Q10418,C1004,Design the mathematical foundation of Python Programming in practical applications?,Hard,Requires understanding of underlying mathematics in Python Programming
Q10419,C1026,List Generative Adversarial Networks?,Easy,The fundamental concept of Generative Adversarial Networks
Q10420,C1032,Compare the advantages of Cross-Validation?,Medium,Uses mathematical optimization for Cross-Validation
Q10421,C1021,Calculate the working mechanism of Backpropagation?,Medium,Uses mathematical optimization for Backpropagation
Q10422,C1016,Calculate the limitations of K-Means Clustering?,Medium,Uses mathematical optimization for K-Means Clustering
Q10423,C1031,What is Hyperparameter Tuning?,Easy,The fundamental concept of Hyperparameter Tuning
Q10424,C1030,Compare the limitations of Diffusion Models?,Medium,Uses mathematical optimization for Diffusion Models
Q10425,C1037,How does the limitations of Neural Architecture Search?,Medium,Uses mathematical optimization for Neural Architecture Search
Q10426,C1021,Compare the working mechanism of Backpropagation?,Medium,Uses mathematical optimization for Backpropagation
Q10427,C1037,Identify Neural Architecture Search?,Easy,The fundamental concept of Neural Architecture Search
Q10428,C1032,Describe the working mechanism of Cross-Validation?,Medium,Uses mathematical optimization for Cross-Validation
Q10429,C1006,Evaluate the optimization of Attention Mechanism in practical applications?,Hard,Requires understanding of underlying mathematics in Attention Mechanism
Q10430,C1011,Define Support Vector Machines?,Easy,The fundamental concept of Support Vector Machines
Q10431,C1024,Explain the advantages of LSTM Networks?,Medium,Uses mathematical optimization for LSTM Networks
Q10432,C1037,Derive the mathematical foundation of Neural Architecture Search in practical applications?,Hard,Requires understanding of underlying mathematics in Neural Architecture Search
Q10433,C1004,True or False: Python Programming?,Easy,The fundamental concept of Python Programming
Q10434,C1034,Identify Ensemble Methods?,Easy,The fundamental concept of Ensemble Methods
Q10435,C1025,Calculate the advantages of Autoencoders?,Medium,Uses mathematical optimization for Autoencoders
Q10436,C1025,How does the limitations of Autoencoders?,Medium,Uses mathematical optimization for Autoencoders
Q10437,C1034,Explain the limitations of Ensemble Methods?,Medium,Uses mathematical optimization for Ensemble Methods
Q10438,C1015,Define Principal Component Analysis?,Easy,The fundamental concept of Principal Component Analysis
Q10439,C1028,Describe the limitations of BERT?,Medium,Uses mathematical optimization for BERT
Q10440,C1026,Derive the implementation of Generative Adversarial Networks in practical applications?,Hard,Requires understanding of underlying mathematics in Generative Adversarial Networks
Q10441,C1036,Define Explainable AI?,Easy,The fundamental concept of Explainable AI
Q10442,C1025,Describe the limitations of Autoencoders?,Medium,Uses mathematical optimization for Autoencoders
Q10443,C1009,Explain information gain calculation.,Medium,Uses mathematical optimization for Decision Trees
Q10444,C1034,Define Ensemble Methods?,Easy,The fundamental concept of Ensemble Methods
Q10445,C1036,Explain the limitations of Explainable AI?,Medium,Uses mathematical optimization for Explainable AI
Q10446,C1026,Calculate the working mechanism of Generative Adversarial Networks?,Medium,Uses mathematical optimization for Generative Adversarial Networks
Q10447,C1020,Define Activation Functions?,Easy,The fundamental concept of Activation Functions
Q10448,C1015,Derive the mathematical foundation of Principal Component Analysis in practical applications?,Hard,Requires understanding of underlying mathematics in Principal Component Analysis
Q10449,C1031,Design the implementation of Hyperparameter Tuning in practical applications?,Hard,Requires understanding of underlying mathematics in Hyperparameter Tuning
Q10450,C1030,Evaluate the mathematical foundation of Diffusion Models in practical applications?,Hard,Requires understanding of underlying mathematics in Diffusion Models
Q10451,C1009,Analyze time complexity of decision trees.,Hard,Requires understanding of underlying mathematics in Decision Trees
Q10452,C1014,Calculate the advantages of Naive Bayes?,Medium,Uses mathematical optimization for Naive Bayes
Q10453,C1003,True or False: Statistics?,Easy,The fundamental concept of Statistics
Q10454,C1036,List Explainable AI?,Easy,The fundamental concept of Explainable AI
Q10455,C1029,Describe the advantages of GPT Models?,Medium,Uses mathematical optimization for GPT Models
Q10456,C1028,Design the optimization of BERT in practical applications?,Hard,Requires understanding of underlying mathematics in BERT
Q10457,C1010,Define K-Nearest Neighbors?,Easy,The fundamental concept of K-Nearest Neighbors
Q10458,C1012,True or False: Random Forests?,Easy,The fundamental concept of Random Forests
Q10459,C1007,Explain regularization in linear regression.,Hard,Requires understanding of underlying mathematics in Linear Regression
Q10460,C1038,Describe the advantages of Meta Learning?,Medium,Uses mathematical optimization for Meta Learning
Q10461,C1009,Explain random forest bagging.,Hard,Requires understanding of underlying mathematics in Decision Trees
Q10462,C1007,What does the coefficient represent?,Easy,The fundamental concept of Linear Regression
Q10463,C1024,Define LSTM Networks?,Easy,The fundamental concept of LSTM Networks
Q10464,C1033,Design the optimization of Model Evaluation in practical applications?,Hard,Requires understanding of underlying mathematics in Model Evaluation
Q10465,C1034,Evaluate the mathematical foundation of Ensemble Methods in practical applications?,Hard,Requires understanding of underlying mathematics in Ensemble Methods
Q10466,C1024,True or False: LSTM Networks?,Easy,The fundamental concept of LSTM Networks
Q10467,C1016,List K-Means Clustering?,Easy,The fundamental concept of K-Means Clustering
Q10468,C1019,What is an activation function?,Easy,Introduces non-linearity
Q10469,C1036,Explain the working mechanism of Explainable AI?,Medium,Uses mathematical optimization for Explainable AI
Q10470,C1028,Design the optimization of BERT in practical applications?,Hard,Requires understanding of underlying mathematics in BERT
Q10471,C1014,True or False: Naive Bayes?,Easy,The fundamental concept of Naive Bayes
Q10472,C1002,Calculate the limitations of Calculus?,Medium,Uses mathematical optimization for Calculus
Q10473,C1035,Compare the working mechanism of Self-Supervised Learning?,Medium,Uses mathematical optimization for Self-Supervised Learning
Q10474,C1024,Describe the working mechanism of LSTM Networks?,Medium,Uses mathematical optimization for LSTM Networks
Q10475,C1038,Derive the optimization of Meta Learning in practical applications?,Hard,Requires understanding of underlying mathematics in Meta Learning
Q10476,C1025,Describe the working mechanism of Autoencoders?,Medium,Uses mathematical optimization for Autoencoders
Q10477,C1032,List Cross-Validation?,Easy,The fundamental concept of Cross-Validation
Q10478,C1018,Derive the implementation of DBSCAN in practical applications?,Hard,Requires understanding of underlying mathematics in DBSCAN
Q10479,C1035,True or False: Self-Supervised Learning?,Easy,The fundamental concept of Self-Supervised Learning
Q10480,C1027,Explain the working mechanism of Transformers?,Medium,Uses mathematical optimization for Transformers
Q10481,C1027,Identify Transformers?,Easy,The fundamental concept of Transformers
Q10482,C1009,Compare ID3 vs C4.5 vs CART.,Hard,Requires understanding of underlying mathematics in Decision Trees
Q10483,C1024,Explain the working mechanism of LSTM Networks?,Medium,Uses mathematical optimization for LSTM Networks
Q10484,C1019,Define forward propagation.,Easy,Introduces non-linearity
Q10485,C1000,What is singular value decomposition?,Medium,Solve det(A-λI)=0
Q10486,C1029,Identify GPT Models?,Easy,The fundamental concept of GPT Models
Q10487,C1028,What is BERT?,Easy,The fundamental concept of BERT
Q10488,C1030,How does the advantages of Diffusion Models?,Medium,Uses mathematical optimization for Diffusion Models
Q10489,C1023,Define Recurrent Neural Networks?,Easy,The fundamental concept of Recurrent Neural Networks
Q10490,C1007,What does the coefficient represent?,Easy,The fundamental concept of Linear Regression
Q10491,C1011,List Support Vector Machines?,Easy,The fundamental concept of Support Vector Machines
Q10492,C1002,True or False: Calculus?,Easy,The fundamental concept of Calculus
Q10493,C1037,Identify Neural Architecture Search?,Easy,The fundamental concept of Neural Architecture Search
Q10494,C1000,"What is the dot product of vectors [1,2] and [3,4]?",Easy,ad-bc
Q10495,C1004,Define Python Programming?,Easy,The fundamental concept of Python Programming
Q10496,C1015,What is Principal Component Analysis?,Easy,The fundamental concept of Principal Component Analysis
Q10497,C1001,Prove law of large numbers.,Hard,Requires understanding of underlying mathematics in Probability
Q10498,C1037,Identify Neural Architecture Search?,Easy,The fundamental concept of Neural Architecture Search
Q10499,C1001,What is Markov inequality?,Medium,Uses mathematical optimization for Probability
Q10500,C1027,Analyze the mathematical foundation of Transformers in practical applications?,Hard,Requires understanding of underlying mathematics in Transformers
Q10501,C1015,Compare the advantages of Principal Component Analysis?,Medium,Uses mathematical optimization for Principal Component Analysis
Q10502,C1001,What is Markov inequality?,Medium,Uses mathematical optimization for Probability
Q10503,C1012,Design the mathematical foundation of Random Forests in practical applications?,Hard,Requires understanding of underlying mathematics in Random Forests
Q10504,C1035,Describe the advantages of Self-Supervised Learning?,Medium,Uses mathematical optimization for Self-Supervised Learning
Q10505,C1029,True or False: GPT Models?,Easy,The fundamental concept of GPT Models
Q10506,C1005,What is Distance Metrics?,Easy,The fundamental concept of Distance Metrics
Q10507,C1000,What is singular value decomposition?,Medium,Solve det(A-λI)=0
Q10508,C1010,List K-Nearest Neighbors?,Easy,The fundamental concept of K-Nearest Neighbors
Q10509,C1004,Identify Python Programming?,Easy,The fundamental concept of Python Programming
Q10510,C1004,True or False: Python Programming?,Easy,The fundamental concept of Python Programming
Q10511,C1019,Compare sigmoid vs ReLU.,Medium,Chain rule application
Q10512,C1008,Describe the advantages of Logistic Regression?,Medium,Uses mathematical optimization for Logistic Regression
Q10513,C1030,Describe the limitations of Diffusion Models?,Medium,Uses mathematical optimization for Diffusion Models
Q10514,C1023,Describe the working mechanism of Recurrent Neural Networks?,Medium,Uses mathematical optimization for Recurrent Neural Networks
Q10515,C1002,List Calculus?,Easy,The fundamental concept of Calculus
Q10516,C1037,List Neural Architecture Search?,Easy,The fundamental concept of Neural Architecture Search
Q10517,C1036,How does the advantages of Explainable AI?,Medium,Uses mathematical optimization for Explainable AI
Q10518,C1014,True or False: Naive Bayes?,Easy,The fundamental concept of Naive Bayes
Q10519,C1012,What is Random Forests?,Easy,The fundamental concept of Random Forests
Q10520,C1026,Define Generative Adversarial Networks?,Easy,The fundamental concept of Generative Adversarial Networks
Q10521,C1006,Define Attention Mechanism?,Easy,The fundamental concept of Attention Mechanism
Q10522,C1023,How does the advantages of Recurrent Neural Networks?,Medium,Uses mathematical optimization for Recurrent Neural Networks
Q10523,C1019,Explain backpropagation algorithm.,Medium,Chain rule application
Q10524,C1023,List Recurrent Neural Networks?,Easy,The fundamental concept of Recurrent Neural Networks
Q10525,C1023,Derive the mathematical foundation of Recurrent Neural Networks in practical applications?,Hard,Requires understanding of underlying mathematics in Recurrent Neural Networks
Q10526,C1027,List Transformers?,Easy,The fundamental concept of Transformers
Q10527,C1037,How does the limitations of Neural Architecture Search?,Medium,Uses mathematical optimization for Neural Architecture Search
Q10528,C1017,Compare the working mechanism of Hierarchical Clustering?,Medium,Uses mathematical optimization for Hierarchical Clustering
Q10529,C1002,List Calculus?,Easy,The fundamental concept of Calculus
Q10530,C1036,Analyze the optimization of Explainable AI in practical applications?,Hard,Requires understanding of underlying mathematics in Explainable AI
Q10531,C1010,True or False: K-Nearest Neighbors?,Easy,The fundamental concept of K-Nearest Neighbors
Q10532,C1036,True or False: Explainable AI?,Easy,The fundamental concept of Explainable AI
Q10533,C1022,Why use CNNs for images?,Easy,The fundamental concept of Convolutional Neural Networks
Q10534,C1025,Calculate the limitations of Autoencoders?,Medium,Uses mathematical optimization for Autoencoders
Q10535,C1034,Evaluate the mathematical foundation of Ensemble Methods in practical applications?,Hard,Requires understanding of underlying mathematics in Ensemble Methods
Q10536,C1020,List Activation Functions?,Easy,The fundamental concept of Activation Functions
Q10537,C1038,Describe the limitations of Meta Learning?,Medium,Uses mathematical optimization for Meta Learning
Q10538,C1031,True or False: Hyperparameter Tuning?,Easy,The fundamental concept of Hyperparameter Tuning
Q10539,C1021,Identify Backpropagation?,Easy,The fundamental concept of Backpropagation
Q10540,C1033,True or False: Model Evaluation?,Easy,The fundamental concept of Model Evaluation
Q10541,C1012,Calculate the limitations of Random Forests?,Medium,Uses mathematical optimization for Random Forests
Q10542,C1019,What is vanishing gradient problem?,Medium,Chain rule application
Q10543,C1032,List Cross-Validation?,Easy,The fundamental concept of Cross-Validation
Q10544,C1017,How does the advantages of Hierarchical Clustering?,Medium,Uses mathematical optimization for Hierarchical Clustering
Q10545,C1025,Identify Autoencoders?,Easy,The fundamental concept of Autoencoders
Q10546,C1020,Identify Activation Functions?,Easy,The fundamental concept of Activation Functions
Q10547,C1021,Define Backpropagation?,Easy,The fundamental concept of Backpropagation
Q10548,C1033,Define Model Evaluation?,Easy,The fundamental concept of Model Evaluation
Q10549,C1028,Design the optimization of BERT in practical applications?,Hard,Requires understanding of underlying mathematics in BERT
Q10550,C1027,True or False: Transformers?,Easy,The fundamental concept of Transformers
Q10551,C1011,Describe the advantages of Support Vector Machines?,Medium,Uses mathematical optimization for Support Vector Machines
Q10552,C1006,Describe the limitations of Attention Mechanism?,Medium,Uses mathematical optimization for Attention Mechanism
Q10553,C1034,Calculate the limitations of Ensemble Methods?,Medium,Uses mathematical optimization for Ensemble Methods
Q10554,C1024,Define LSTM Networks?,Easy,The fundamental concept of LSTM Networks
Q10555,C1011,True or False: Support Vector Machines?,Easy,The fundamental concept of Support Vector Machines
Q10556,C1037,Define Neural Architecture Search?,Easy,The fundamental concept of Neural Architecture Search
Q10557,C1015,List Principal Component Analysis?,Easy,The fundamental concept of Principal Component Analysis
Q10558,C1030,What is Diffusion Models?,Easy,The fundamental concept of Diffusion Models
Q10559,C1022,How to handle overfitting in CNNs?,Medium,Uses mathematical optimization for Convolutional Neural Networks
Q10560,C1012,Analyze the implementation of Random Forests in practical applications?,Hard,Requires understanding of underlying mathematics in Random Forests
Q10561,C1034,Define Ensemble Methods?,Easy,The fundamental concept of Ensemble Methods
Q10562,C1005,Compare the limitations of Distance Metrics?,Medium,Uses mathematical optimization for Distance Metrics
Q10563,C1019,Compare sigmoid vs ReLU.,Medium,Chain rule application
Q10564,C1005,How does the working mechanism of Distance Metrics?,Medium,Uses mathematical optimization for Distance Metrics
Q10565,C1017,Describe the advantages of Hierarchical Clustering?,Medium,Uses mathematical optimization for Hierarchical Clustering
Q10566,C1010,Explain the advantages of K-Nearest Neighbors?,Medium,Uses mathematical optimization for K-Nearest Neighbors
Q10567,C1013,Explain the limitations of Gradient Boosting?,Medium,Uses mathematical optimization for Gradient Boosting
Q10568,C1030,Explain the advantages of Diffusion Models?,Medium,Uses mathematical optimization for Diffusion Models
Q10569,C1022,What is pooling?,Easy,The fundamental concept of Convolutional Neural Networks
Q10570,C1001,What is Bayes theorem?,Easy,The fundamental concept of Probability
Q10571,C1025,Design the mathematical foundation of Autoencoders in practical applications?,Hard,Requires understanding of underlying mathematics in Autoencoders
Q10572,C1025,Calculate the advantages of Autoencoders?,Medium,Uses mathematical optimization for Autoencoders
Q10573,C1017,List Hierarchical Clustering?,Easy,The fundamental concept of Hierarchical Clustering
Q10574,C1011,List Support Vector Machines?,Easy,The fundamental concept of Support Vector Machines
Q10575,C1009,Explain information gain calculation.,Medium,Uses mathematical optimization for Decision Trees
Q10576,C1037,Calculate the advantages of Neural Architecture Search?,Medium,Uses mathematical optimization for Neural Architecture Search
Q10577,C1010,Explain the limitations of K-Nearest Neighbors?,Medium,Uses mathematical optimization for K-Nearest Neighbors
Q10578,C1004,True or False: Python Programming?,Easy,The fundamental concept of Python Programming
Q10579,C1034,Explain the working mechanism of Ensemble Methods?,Medium,Uses mathematical optimization for Ensemble Methods
Q10580,C1031,True or False: Hyperparameter Tuning?,Easy,The fundamental concept of Hyperparameter Tuning
Q10581,C1030,Prove the mathematical foundation of Diffusion Models in practical applications?,Hard,Requires understanding of underlying mathematics in Diffusion Models
Q10582,C1006,Identify Attention Mechanism?,Easy,The fundamental concept of Attention Mechanism
Q10583,C1037,Define Neural Architecture Search?,Easy,The fundamental concept of Neural Architecture Search
Q10584,C1004,Identify Python Programming?,Easy,The fundamental concept of Python Programming
Q10585,C1034,Calculate the limitations of Ensemble Methods?,Medium,Uses mathematical optimization for Ensemble Methods
Q10586,C1023,Identify Recurrent Neural Networks?,Easy,The fundamental concept of Recurrent Neural Networks
Q10587,C1000,What is a rank of a matrix?,Easy,ad-bc
Q10588,C1031,True or False: Hyperparameter Tuning?,Easy,The fundamental concept of Hyperparameter Tuning
Q10589,C1009,Explain information gain calculation.,Medium,Uses mathematical optimization for Decision Trees
Q10590,C1022,What is a convolutional layer?,Easy,The fundamental concept of Convolutional Neural Networks
Q10591,C1026,Compare the limitations of Generative Adversarial Networks?,Medium,Uses mathematical optimization for Generative Adversarial Networks
Q10592,C1006,List Attention Mechanism?,Easy,The fundamental concept of Attention Mechanism
Q10593,C1036,Define Explainable AI?,Easy,The fundamental concept of Explainable AI
Q10594,C1012,Calculate the advantages of Random Forests?,Medium,Uses mathematical optimization for Random Forests
Q10595,C1019,Explain Xavier initialization.,Hard,σ(x)(1-σ(x))
Q10596,C1025,Describe the working mechanism of Autoencoders?,Medium,Uses mathematical optimization for Autoencoders
